id,key,value,type
7682723,name_base,Holly,tiger
7682723,name_type,St,tiger
7682723,name_base_1,County Road 14.75,tiger
7684046,name,Florence Court,regular
7684046,highway,residential,regular
7684046,cfcc,A41,tiger
7684046,county,"Weld, CO",tiger
7684046,reviewed,no,tiger
7684046,name_base,Florence,tiger
7684046,name_type,Ct,tiger
7684653,name,County Road 17,regular
7684653,highway,residential,regular
7684653,cfcc,A41,tiger
7684653,county,"Weld, CO",tiger
7684653,reviewed,no,tiger
7684653,name_base,County Road 17,tiger
7685742,name,11th Street,regular
7685742,highway,residential,regular
7685742,cfcc,A41,tiger
7685742,county,"Weld, CO",tiger
7685742,reviewed,no,tiger
7685742,name_base,11th,tiger
7685742,name_type,St,tiger
7686614,name,County Road 4,regular
7686614,highway,track,regular
7686614,cfcc,A51,tiger
7686614,tlid,188671828,tiger
7686614,county,"Weld, CO",tiger
7686614,source,tiger_import_dch_v0.6_20070809,tiger
7686614,reviewed,no,tiger
7686614,name_base,County Road 4,tiger
7686614,separated,no,tiger
7686614,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7687630,name,Elizabeth Avenue,regular
7687630,highway,residential,regular
7687630,cfcc,A41,tiger
7687630,county,"Weld, CO",tiger
7687630,reviewed,no,tiger
7687630,name_base,Elizabeth,tiger
7687630,name_type,Ave,tiger
7688699,highway,residential,regular
7688699,name,Kipp Avenue,regular
7688699,oneway,no,regular
7688699,surface,asphalt,regular
7688699,cfcc,A41,tiger
7688699,county,"Weld, CO",tiger
7688699,name_base,Kipp,tiger
7688699,name_type,Ave,tiger
7689520,name,4th Avenue,regular
7689520,oneway,no,regular
7689520,highway,residential,regular
7689520,surface,asphalt,regular
7690557,name,Cessna Drive,regular
7690557,highway,residential,regular
7690557,cfcc,A41,tiger
7690557,tlid,188702192,tiger
7690557,county,"Weld, CO",tiger
7690557,source,tiger_import_dch_v0.6_20070809,tiger
7690557,reviewed,no,tiger
7690557,name_base,Cessna,tiger
7690557,name_type,Dr,tiger
7690557,separated,no,tiger
7691665,name,Mesa Verde,regular
7691665,highway,residential,regular
7691665,cfcc,A41,tiger
7691665,county,"Weld, CO",tiger
7691665,reviewed,no,tiger
7691665,name_base,Mesa Verde,tiger
7692651,name,Hunter's Cove Drive,regular
7692651,highway,residential,regular
7692651,cfcc,A41,tiger
7692651,county,"Weld, CO",tiger
7692651,reviewed,no,tiger
7692651,name_base,Hunter's Cove,tiger
7692651,name_type,Dr,tiger
7693472,name,Dillingham Avenue,regular
7693472,highway,residential,regular
7693472,cfcc,A41,tiger
7693472,county,"Weld, CO",tiger
7693472,name_base,Dillingham,tiger
7693472,name_type,Ave,tiger
8400785,highway,service,regular
10379972,access,private,regular
10379972,oneway,no,regular
10379972,highway,service,regular
10379972,service,driveway,regular
10379972,cfcc,A41,tiger
10379972,county,"Douglas, CO",tiger
10380431,access,private,regular
10380431,highway,service,regular
10380431,cfcc,A74,tiger
10380431,tlid,130828831,tiger
10380431,county,"Douglas, CO",tiger
10380431,source,tiger_import_dch_v0.6_20070809,tiger
10380431,reviewed,no,tiger
10380431,upload_uuid,bulk_upload.pl-c1a3122b-a4c4-4903-b8cb-aed56cefa025,tiger
10380690,access,private,regular
10380690,highway,service,regular
10380690,cfcc,A74,tiger
10380690,tlid,130826717,tiger
10380690,county,"Douglas, CO",tiger
10380690,source,tiger_import_dch_v0.6_20070809,tiger
10380690,reviewed,no,tiger
10380690,upload_uuid,bulk_upload.pl-c1a3122b-a4c4-4903-b8cb-aed56cefa025,tiger
10381170,access,private,regular
10381170,oneway,no,regular
10381170,highway,service,regular
10381170,service,driveway,regular
10381170,cfcc,A74,tiger
10381170,county,"Douglas, CO",tiger
10381170,reviewed,no,tiger
10381588,highway,residential,regular
10381588,cfcc,A41,tiger
10381588,county,"Douglas, CO",tiger
10381588,reviewed,no,tiger
10382062,access,private,regular
10382062,highway,service,regular
10382062,cfcc,A74,tiger
10382062,tlid,130828093,tiger
10382062,county,"Douglas, CO",tiger
10382062,source,tiger_import_dch_v0.6_20070809,tiger
10382062,reviewed,no,tiger
10382062,upload_uuid,bulk_upload.pl-c1a3122b-a4c4-4903-b8cb-aed56cefa025,tiger
10382278,name,East Dolton Lane,regular
10382278,highway,residential,regular
10382278,cfcc,A41,tiger
10382278,county,"Douglas, CO",tiger
10382278,name_base,Dolton,tiger
10382278,name_type,Way,tiger
10382278,name_direction_prefix,S,tiger
10382442,name,Blazing Star Place,regular
10382442,highway,residential,regular
10382442,cfcc,A41,tiger
10382442,county,"Douglas, CO",tiger
10382442,reviewed,no,tiger
10382442,name_base,Blazing Star,tiger
10382442,name_type,Pl,tiger
10382613,name,East Wangaratta Way,regular
10382613,highway,residential,regular
10382613,cfcc,A41,tiger
10382613,county,"Douglas, CO",tiger
10382613,reviewed,no,tiger
10382613,name_base,Wangaratta,tiger
10382613,name_type,Way,tiger
10382613,name_direction_prefix,E,tiger
10382791,name,South Mulberry Lane,regular
10382791,highway,residential,regular
10382791,cfcc,A41,tiger
10382791,county,"Douglas, CO",tiger
10382791,reviewed,no,tiger
10382791,name_base,Mulberry,tiger
10382791,name_type,Ln,tiger
10382791,name_direction_prefix,S,tiger
10383018,name,North Stratton Avenue,regular
10383018,oneway,no,regular
10383018,highway,residential,regular
10383018,cfcc,A41,tiger
10383018,county,"Douglas, CO",tiger
10383018,reviewed,no,tiger
10383018,name_base,Stratton,tiger
10383018,name_type,Ave,tiger
10383018,name_direction_prefix,N,tiger
10383214,name,East Lt William Clark Road,regular
10383214,highway,residential,regular
10383214,cfcc,A41,tiger
10383214,county,"Douglas, CO",tiger
10383214,reviewed,no,tiger
10383214,name_base,Lt William Clark,tiger
10383214,name_type,Rd,tiger
10383214,name_direction_prefix,E,tiger
10383436,name,Country Club Estates Drive,regular
10383436,highway,residential,regular
10383436,cfcc,A41,tiger
10383436,county,"Douglas, CO",tiger
10383436,reviewed,no,tiger
10383436,name_base,Country Club Estates,tiger
10383436,name_type,Dr,tiger
10383654,name,Austin Place,regular
10383654,highway,residential,regular
10383654,cfcc,A41,tiger
10383654,county,"Douglas, CO",tiger
10383654,reviewed,no,tiger
10383654,name_base,Austin,tiger
10383654,name_type,Pl,tiger
10383856,name,North Flintwood Road,regular
10383856,highway,residential,regular
10383856,cfcc,A41,tiger
10383856,county,"Douglas, CO",tiger
10383856,reviewed,no,tiger
10383856,name_base,Flintwood,tiger
10383856,name_type,Rd,tiger
10383856,name_direction_prefix,N,tiger
10384044,noname,yes,regular
10384044,highway,residential,regular
10384044,cfcc,A41,tiger
10384044,tlid,130830372,tiger
10384044,county,"Douglas, CO",tiger
10384044,source,tiger_import_dch_v0.6_20070809,tiger
10384044,name_base,Unnamed,tiger
10384044,name_type,Rd,tiger
10384044,separated,no,tiger
10384251,name,Foxwood Court,regular
10384251,oneway,no,regular
10384251,source,bing,regular
10384251,highway,residential,regular
10384251,surface,asphalt,regular
10384251,maxspeed,15 mph,regular
10384251,cfcc,A41,tiger
10384251,county,"Douglas, CO",tiger
10384251,reviewed,no,tiger
10384251,name_base,Foxwood,tiger
10384251,name_type,Ct,tiger
10384421,name,Masters Drive,regular
10384421,highway,residential,regular
10384421,cfcc,A41,tiger
10384421,county,"Douglas, CO",tiger
10384421,reviewed,no,tiger
10384421,name_base,Masters,tiger
10384421,name_type,Dr,tiger
10384601,name,Private,regular
10384601,highway,residential,regular
10384601,cfcc,A41,tiger
10384601,tlid,130849601,tiger
10384601,county,"Douglas, CO",tiger
10384601,source,tiger_import_dch_v0.6_20070809,tiger
10384601,reviewed,no,tiger
10384601,name_base,Private,tiger
10384601,separated,no,tiger
10384601,upload_uuid,bulk_upload.pl-c1a3122b-a4c4-4903-b8cb-aed56cefa025,tiger
10384916,name,Glengate Circle,regular
10384916,highway,residential,regular
10384916,cfcc,A41,tiger
10384916,county,"Douglas, CO",tiger
10384916,reviewed,yes,tiger
10384916,name_base,Glengate,tiger
10384916,name_type,Cir,tiger
10385082,name,Louviers Boulevard,regular
10385082,highway,tertiary,regular
10385082,cfcc,A41,tiger
10385082,county,"Douglas, CO",tiger
10385082,reviewed,no,tiger
10385082,name_base,Louviers,tiger
10385082,name_type,Blvd,tiger
10385323,name,West Braewood Avenue,regular
10385323,highway,residential,regular
10385323,cfcc,A41,tiger
